user_id,order_id,product_id,product_name,department_id,department,aisle_id,aisle
1424,1249751,48679,Organic Garnet Sweet Potato (Yam),4,produce,83,fresh vegetables
1424,1249751,26209,Limes,4,produce,24,fresh fruits
1424,1249751,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,1249751,5876,Organic Lemon,4,produce,24,fresh fruits
1424,1249751,37646,Organic Gala Apples,4,produce,24,fresh fruits
1424,1249751,24964,Organic Garlic,4,produce,83,fresh vegetables
1424,3033987,13176,Bag of Organic Bananas,4,produce,24,fresh fruits
1424,3033987,31717,Organic Cilantro,4,produce,16,fresh herbs
1424,3033987,26940,Organic Large Green Asparagus,4,produce,83,fresh vegetables
1424,3033987,21137,Organic Strawberries,4,produce,24,fresh fruits
1424,3033987,8174,Organic Navel Orange,4,produce,24,fresh fruits
1424,3033987,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,723267,24964,Organic Garlic,4,produce,83,fresh vegetables
1424,723267,26940,Organic Large Green Asparagus,4,produce,83,fresh vegetables
1424,723267,43122,Organic Bartlett Pear,4,produce,24,fresh fruits
1424,723267,37646,Organic Gala Apples,4,produce,24,fresh fruits
1424,723267,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,723267,5876,Organic Lemon,4,produce,24,fresh fruits
1424,723267,22935,Organic Yellow Onion,4,produce,83,fresh vegetables
1424,723267,48679,Organic Garnet Sweet Potato (Yam),4,produce,83,fresh vegetables
1424,723267,8174,Organic Navel Orange,4,produce,24,fresh fruits
1424,723267,45007,Organic Zucchini,4,produce,83,fresh vegetables
1424,723267,8277,Apple Honeycrisp Organic,4,produce,24,fresh fruits
1424,1017760,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,1017760,8174,Organic Navel Orange,4,produce,24,fresh fruits
1424,1017760,24964,Organic Garlic,4,produce,83,fresh vegetables
1424,1017760,22935,Organic Yellow Onion,4,produce,83,fresh vegetables
1424,1017760,26209,Limes,4,produce,24,fresh fruits
1424,1017760,31717,Organic Cilantro,4,produce,16,fresh herbs
1424,1017760,21137,Organic Strawberries,4,produce,24,fresh fruits
1424,1017760,27344,Uncured Genoa Salami,20,deli,96,lunch meat
1424,1015306,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,1015306,24964,Organic Garlic,4,produce,83,fresh vegetables
1424,1015306,21137,Organic Strawberries,4,produce,24,fresh fruits
1424,1015306,22935,Organic Yellow Onion,4,produce,83,fresh vegetables
1424,1015306,5876,Organic Lemon,4,produce,24,fresh fruits
1424,1015306,8174,Organic Navel Orange,4,produce,24,fresh fruits
1424,1015306,43122,Organic Bartlett Pear,4,produce,24,fresh fruits
1424,1015306,41950,Organic Tomato Cluster,4,produce,83,fresh vegetables
1424,1015306,10749,Organic Red Bell Pepper,4,produce,83,fresh vegetables
1424,1015306,40706,Organic Grape Tomatoes,4,produce,123,packaged vegetables fruits
1424,1749606,37646,Organic Gala Apples,4,produce,24,fresh fruits
1424,1749606,5876,Organic Lemon,4,produce,24,fresh fruits
1424,1749606,24964,Organic Garlic,4,produce,83,fresh vegetables
1424,1749606,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,1451639,21137,Organic Strawberries,4,produce,24,fresh fruits
1424,1451639,37646,Organic Gala Apples,4,produce,24,fresh fruits
1424,1451639,24964,Organic Garlic,4,produce,83,fresh vegetables
1424,1451639,43122,Organic Bartlett Pear,4,produce,24,fresh fruits
1424,2939203,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,611318,43122,Organic Bartlett Pear,4,produce,24,fresh fruits
1424,1273021,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,1273021,31506,Extra Virgin Olive Oil,13,pantry,19,oils vinegars
1424,1273021,8277,Apple Honeycrisp Organic,4,produce,24,fresh fruits
1424,611318,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,611318,21137,Organic Strawberries,4,produce,24,fresh fruits
1424,611318,37646,Organic Gala Apples,4,produce,24,fresh fruits
1424,1273021,13176,Bag of Organic Bananas,4,produce,24,fresh fruits
1424,2814816,21137,Organic Strawberries,4,produce,24,fresh fruits
1424,2814816,41950,Organic Tomato Cluster,4,produce,83,fresh vegetables
1424,2667455,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,2667455,21137,Organic Strawberries,4,produce,24,fresh fruits
1424,2667455,8174,Organic Navel Orange,4,produce,24,fresh fruits
1424,2667455,43122,Organic Bartlett Pear,4,produce,24,fresh fruits
1424,2667455,45007,Organic Zucchini,4,produce,83,fresh vegetables
1424,2667455,5876,Organic Lemon,4,produce,24,fresh fruits
1424,2667455,24964,Organic Garlic,4,produce,83,fresh vegetables
1424,2667455,30391,Organic Cucumber,4,produce,83,fresh vegetables
1424,2667455,26940,Organic Large Green Asparagus,4,produce,83,fresh vegetables
1424,2667455,10749,Organic Red Bell Pepper,4,produce,83,fresh vegetables
1424,2667455,26209,Limes,4,produce,24,fresh fruits
1424,2667455,37646,Organic Gala Apples,4,produce,24,fresh fruits
1424,2722026,21137,Organic Strawberries,4,produce,24,fresh fruits
1424,2722026,26940,Organic Large Green Asparagus,4,produce,83,fresh vegetables
1424,2722026,43122,Organic Bartlett Pear,4,produce,24,fresh fruits
1424,2722026,22935,Organic Yellow Onion,4,produce,83,fresh vegetables
1424,2722026,24964,Organic Garlic,4,produce,83,fresh vegetables
1424,2722026,5876,Organic Lemon,4,produce,24,fresh fruits
1424,2722026,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,2722026,48679,Organic Garnet Sweet Potato (Yam),4,produce,83,fresh vegetables
1424,2722026,30391,Organic Cucumber,4,produce,83,fresh vegetables
1424,2722026,37646,Organic Gala Apples,4,produce,24,fresh fruits
1424,365668,5876,Organic Lemon,4,produce,24,fresh fruits
1424,365668,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,59413,13176,Bag of Organic Bananas,4,produce,24,fresh fruits
1424,59413,21137,Organic Strawberries,4,produce,24,fresh fruits
1424,59413,5876,Organic Lemon,4,produce,24,fresh fruits
1424,59413,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,59413,8277,Apple Honeycrisp Organic,4,produce,24,fresh fruits
1424,59413,48679,Organic Garnet Sweet Potato (Yam),4,produce,83,fresh vegetables
1424,59413,24964,Organic Garlic,4,produce,83,fresh vegetables
1424,59413,8174,Organic Navel Orange,4,produce,24,fresh fruits
1424,2095159,21137,Organic Strawberries,4,produce,24,fresh fruits
1424,2095159,27344,Uncured Genoa Salami,20,deli,96,lunch meat
1424,2095159,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,2287052,37646,Organic Gala Apples,4,produce,24,fresh fruits
1424,2287052,21137,Organic Strawberries,4,produce,24,fresh fruits
1424,2287052,22935,Organic Yellow Onion,4,produce,83,fresh vegetables
1424,2287052,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,2287052,5876,Organic Lemon,4,produce,24,fresh fruits
1424,2287052,43122,Organic Bartlett Pear,4,produce,24,fresh fruits
1424,2750500,5876,Organic Lemon,4,produce,24,fresh fruits
1424,2750500,47209,Organic Hass Avocado,4,produce,24,fresh fruits
1424,108549,27344,Uncured Genoa Salami,20,deli,96,lunch meat
1424,108549,47209,Organic Hass Avocado,4,produce,24,fresh fruits
